,Turkana,Marsabit,Mandera,Wajir,West Pokot,Samburu,Isiolo,Baringo,Keiyo-Marakwet,Trans Nzoia,Bungoma,Garissa,Uasin Gishu,Kakamega,Laikipia,Busia,Meru,Nandi,Siaya,Nakuru,Vihiga,Nyandarua,Tharaka,Kericho,Kisumu,Nyeri,Tana River,Kitui,Kirinyaga,Embu,Homa Bay,Bomet,Nyamira,Narok,Kisii,Murang'a,Migori,Kiambu,Machakos,Kajiado,Nairobi,Makueni,Lamu,Kilifi,Taita Taveta,Kwale,Mombasa,Offshore
2013-01-11,2.7211685,3.4820216,3.447941,4.2920184,2.5154068,3.0757496,3.7329564,2.2479434,2.5611846,1.599259,1.4940138,3.7978263,2.1975565,1.7363368,2.7241015,2.3385715,3.0234993,1.9685663,2.8357856,2.3031616,2.0381064,1.8867923,2.4630554,1.7328309,1.7574607,1.8641889,3.3229296,3.1080358,2.103754,2.3959622,2.5514977,1.404902,1.7252505,2.4074337,2.1797256,2.9751816,3.0655887,3.9488666,3.555341,3.4432936,4.710816,3.6861446,4.2972727,3.427213,2.9783926,2.4401755,3.6653795,3.5769346
2013-01-12,4.027466,5.1786695,5.656054,5.897304,3.5077975,4.3583646,4.557411,2.9871285,3.5575511,2.6905193,2.350813,4.7635517,4.066338,2.7142098,3.964951,2.3125045,3.296037,3.685632,2.2561114,3.0735111,1.3643607,2.6341655,2.7953615,3.4756944,1.8118634,2.1029668,4.1612844,3.9173536,2.4055603,3.2786963,1.7775062,2.57675,1.4431844,3.2708387,1.4573686,3.4379923,2.3968256,4.794776,4.4607162,4.1004295,5.761219,4.2278543,5.350049,4.1115675,3.3884807,2.7524076,4.3010445,4.8747745
2013-01-13,5.2599626,6.1316953,6.9836555,6.55401,4.4395766,5.14426,4.887642,3.1474288,3.7952404,2.850015,2.6495862,5.360779,4.342096,3.273905,4.000645,2.6820898,3.1059372,4.162525,2.8011105,3.0088546,2.4926395,2.729818,2.769915,3.970709,2.7009838,2.3229797,4.5984797,3.434005,2.3668504,3.114255,2.443075,2.3582935,1.9460368,2.949722,1.802325,3.1943781,2.4221282,4.1273494,4.2050643,3.6449819,5.066395,3.7405765,5.921328,4.769471,3.9050946,3.5796845,5.636894,5.8615766
2013-01-14,5.4958177,6.6210885,7.461126,6.772556,4.941193,5.3582525,4.4942245,3.2769227,4.10761,2.9758575,2.9838362,5.113935,4.960928,3.5744565,4.319876,2.307497,3.1548562,4.720475,2.1096885,3.6184604,2.8117526,3.1854246,3.1899776,4.188247,2.9688642,3.032026,4.191558,3.763194,3.4668262,3.8482676,2.220654,3.176379,2.6209867,3.897824,2.2660398,3.9048707,2.0874507,5.266952,4.975206,4.4720163,6.3460107,4.2871113,6.058337,4.3634996,4.18498,4.149487,5.390279,5.7370014
2013-01-15,5.4625974,6.7004232,5.6558685,6.109707,4.825451,5.451622,4.9221253,3.195509,3.7109578,3.2160542,3.3160262,4.535974,4.970392,3.9432907,3.9047089,2.2353554,3.2737646,4.5206575,1.9842906,3.0800164,2.5258856,2.7565868,2.699913,3.517245,2.4179919,2.1683438,3.8286252,2.8400693,2.491681,3.322711,2.05642,2.4286857,1.8056641,3.092371,1.9808812,3.5495064,2.544835,4.926,4.1426992,3.3568919,5.827799,3.4452043,5.720019,4.6738496,3.2975154,3.7070112,5.560484,5.4006166
2013-01-16,6.1586514,6.7404165,6.1465545,5.67306,4.753405,5.2598953,4.8152304,2.9210057,3.1697345,2.603965,3.0654902,4.28573,4.260473,3.565279,4.139699,2.9507558,3.5460637,3.8126493,2.6091468,3.1982076,1.8290882,2.7169087,2.8070402,3.0105124,1.5653628,2.2589724,3.5834064,3.4799204,2.94987,3.5306635,1.6875802,3.0306804,1.3781945,3.8061938,1.5083895,3.7193978,2.310465,4.589317,4.2402864,3.525249,5.279688,3.958167,4.545629,3.573363,3.0617023,2.517884,3.5442681,4.251106
2013-01-17,5.4234495,6.0721254,5.861669,5.276129,3.9236085,4.450379,3.9264126,2.1343224,2.937948,2.0081983,2.0185091,4.033322,3.55754,2.603401,2.8423142,1.710014,2.2363718,3.402209,1.6569738,2.3150764,2.4596305,1.8908901,1.8127079,2.8259661,2.2592564,1.4646335,3.4007752,2.831174,1.9549145,2.6268985,2.124926,2.5918329,1.8674521,3.4179118,2.2271118,2.7869446,3.4671981,3.904998,3.6357229,3.5494764,4.7231293,3.750217,5.287581,4.088902,2.9832969,2.8354833,5.101493,5.155323
2013-01-18,4.5732045,5.0470195,6.5169535,5.6922708,3.8092582,4.2100215,3.9430096,2.6987538,2.936084,2.3524806,2.3881893,5.006086,3.266445,2.7033465,3.1912894,2.9432592,2.822295,3.1379862,2.9255438,2.5781417,2.1364703,2.7075222,3.031002,2.8149984,2.3746095,2.4340088,4.5337443,3.245578,2.5832644,3.305084,2.52056,1.8213844,2.0512073,2.6007311,1.9180753,3.4411182,3.0038722,4.232623,4.134352,3.2922156,5.0476103,3.090718,6.418353,4.960741,3.263047,3.7722514,5.969247,6.633248
2013-01-19,4.5761085,5.2749267,6.188201,5.9244585,3.7976246,4.1054463,3.8201408,3.0542521,3.1939807,2.6180959,2.1833966,5.3858414,2.8345048,2.5852563,3.3647943,2.8619719,2.6603236,2.7432375,3.0074947,2.77781,3.1496341,2.9556408,2.9833405,2.5689104,3.015278,2.625237,4.6474466,3.331591,2.3765137,3.1758275,3.51209,2.0072477,3.2507915,2.693334,3.0429845,3.0240135,3.2953806,3.6957862,3.9747097,3.4030833,4.526596,3.3961818,6.7954235,5.1114936,4.0462484,5.1539774,6.7681484,7.0438995
2013-01-20,4.112522,5.1272063,6.02556,5.361962,3.23441,4.1856713,3.5555294,2.9666536,2.962586,2.5139034,2.4121885,4.1283026,3.072296,2.8180225,3.0852675,3.6786969,2.4759324,3.1266134,3.867635,2.5172768,2.7192717,2.7742896,2.7147968,2.936114,2.8585575,2.5005565,3.3975935,2.897464,2.0070684,2.8277228,3.4751766,1.8237747,2.9852734,2.2755826,2.9597912,2.4825966,3.6650128,3.3301442,3.6652744,3.2747831,4.230817,3.1970792,5.592619,3.8471606,3.2532566,3.901755,5.6397877,5.85663
